Symbol,Date,Buy Time,Sell Time,Qty,Buy Price,Sell Price,Gross PnL,Charges,Net PnL,Exit Reason,E_Sig,E_EMA,E_ROC,E_BBW,X_Sig,X_EMA,X_ROC,X_BBW
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:40:10,2026-01-27 13:40:23,130,47.85,43.1,-617.5,10.52,-628.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:40:45,2026-01-27 13:41:04,130,31.9,30.65,-162.5,7.23,-169.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:41:41,2026-01-27 13:42:05,130,36.35,33.45,-376.99999999999983,8.07,-385.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:42:18,2026-01-27 13:43:20,130,35.15,37.45,299.00000000000057,8.4,290.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:45:20,2026-01-27 13:45:44,130,30.6,32.77,282.10000000000025,7.33,274.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:48:19,2026-01-27 13:48:53,130,31.9,28.55,-435.4999999999997,6.99,-442.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:49:31,2026-01-27 13:49:43,130,27.4,25.9,-195.0,6.16,-201.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:49:52,2026-01-27 13:50:20,130,25.65,23.55,-272.9999999999997,5.69,-278.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:50:53,2026-01-27 13:51:05,130,25.35,26.02,87.09999999999977,5.94,81.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:51:44,2026-01-27 13:52:03,130,26.5,26.25,-32.5,6.1,-38.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:52:12,2026-01-27 13:52:38,130,28.35,29.9,201.49999999999963,6.74,194.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:53:21,2026-01-27 13:53:48,130,29.7,27.8,-246.99999999999983,6.65,-253.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:54:49,2026-01-27 13:55:07,130,28.95,29.9,123.49999999999991,6.81,116.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 13:56:50,2026-01-27 13:57:07,130,27.3,24.65,-344.5000000000003,6.01,-350.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
